Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
Tribute at Parc Central in Langley,"20326 72B Avenue, Langley, BC",,Townhouse,Essence Properties,80,,,close to urban conveniences in a fast growing community Parc Central,,,Willoughby Community Park,"Community, Entertainment, Eats, Drink, Child Care and more",,,
Trillion by Konic Homes | Richmond,5660 Williams Road,,Townhomes,Konic Homes,12,,2,,"2-storeys, front and back duplex, 5-bedrooms",,"London Park, Park Lane Park",Shopping districts,Side-by-side parking,,
Triomphe Residences by Millennium Development,1904 Gilmore Ave,"1 beds from $390,000 , 2 beds from $490,000 2 + den from $580's",condos,Millennium Development,340,concrete,46,A 3-storey amenity pavilion with rooftop pool,,yes,,"shopping, dining, transit",yes,yes,
Trump Tower Vancouver - A focal addition to the downtown Vancouver skyline,1133 West Georgia Street,"$742,900+",,Holburn Group,"5 Star Hotel and 123 Exclusive Residences, 218 luxuriously appointed condominium residences",,2nd Tallest tower in Vancouver (63 storeys),,,,,,,,
Tsawwassen Landing by Onni,Tsawwassen Landing,,Single-family homes & Townhomes,Onni Group,120-acre master-planned community,,,minutes from the beach,,,,steps to Tsawwassen Mills & Tsawwassen Commons shopping,,,
Tudor House - Vancouver - Cambie Corridor,"441 W 63rd Ave, Vancouver, BC V5X 2J3",,Townhomes,Formwerks,15,,4,,,,"Winona Park, Langara Golf Course,",,Details to be finalized,Details to be finalized,
Turner's Dairy at the corner of Ontario Street and West 17th Ave,at the corner of Ontario Street and West 17th Ave,,Townhouse,Inquire for details,13,,,,,,Mt Pleasant Park,"Restaurants, entertainment, schools, pharmacies, shops and more",Secured Underground Parking,,
Two Waters - Oceanfront Community in Colwood,170 Goldfinch Road,,Townhouse,Relevant Properties,61,,,a Unique Oceanfront Community in Colwood,,,"Passage Park, Gratton Park, Perimeter park, Wickheim Park","access to the tranquility of the lagoon, the 260 acres by Royal Roads University, which offers a Japanese Garden, a historic castle, and countless walking, jogging and hiking trails",,,
U-Eight at UBC Okanagan,805 Academy Way,,"Studio, 1, 2, and 3 bedroom",Mission Group,95,,,15-minute walk from UBC Okanagan campus,,,,"groceries, dining, shops, services, health and wellness",Each home at U-Eight will include a parking stall,,
UNION PARK by Polygon Homes,"82 Ave & 207 St, Langley, BC V2Y, Canada",,Condo,Polygon,589 market condominiums,,four 6-storey woodframe buildings,"Playground, private greenspace",,,52-acre Yorkson Community Park across the street,near elementary & secondary schools,886 vehicle parking spaces,,
Union Living in Coquitlam,503 Austin Ave,,Condo and Townhouse,Square Nine Developments Inc,102,,19,steps from Lougheed Town Centre,,,Burnaby Lake Regional Park,"Vancouver Golf Club, North Road restaurants, Lougheed Town Centre Mall shopping, Skytrain and more",,,
University District in Surrey,13409 104 Ave,,Condo and Towhome,BlueSky Properties,"20 townhomes, 722 condos",,,"1 mixed-use highrise, 1 residential highrise",,,,"SkyTrain, SFU, Holland Park, and countless restaurants, shops and services",645 vehicle spaces,,
University Heights by Holborn in Squamish,3200 University Boulevard,,"Condo, Townhouse and Single Family Home",Holborn,,,,Uniquely situated within one of the highest elevations in Squamish,,Complete panoramic mountain views next to Quest University in the Garibaldi Highlands,,"Shops, dining, schools, parks and entertainment",,,
University Heights | Kelowna,Academy Way,"Starting from high $700,000’s",Single Family Home,Ovation Homes,49,,,15-minute walk to the University of British Columbia Okanagan Campus,"1.5 to 5 bedrooms homes finished w/ quartz countertops, hardwood floors, tile & legal suite","Nature, downtown Kelowna, Okanagan lake & valley",Robert Lake Regional Park,"World class academic institutes, dining, shopping, wineries, golfing, hiking, biking & more!",Yes,Yes,
Urbana at Central Green,Harvey Ave & Richter St,,,Mission Group,55,,,LEED® Certified design,,,Rowcliffe Park,"Pandosy Village, Beaches, Shopping, Dining",,,
Urbana at Central Green | Kelowna,Harvey Ave & Richter St,High $400's,Condo,Mission Group,55,,4,,"2- & 3- BED park view homes available, select suites w/ a large terrace",New 5-acre city park,Radcliffe Park,"Beaches, shopping, dinning, outdoor recreational activities + amenities of Pandosy Village",,,
Vancouver House - Reinventing Vancouver Architecture,1480 Howe Street,"$350,000 - $6,000,000+",,Westbank and Bjarke Ingels Group,600 residential units,,59-storey residential tower with a 9-storey commercial podium,,,,situated right by the water with a seawall connecting to Stanley Park,"phenomenal location in close proximity to everything Vancouver has to offer, 5 minutes away from the shopping district, False Creek restaurants, bars, and cafes at your doorstep",,,
Vantage by Sunmark | Surrey,141 St & 62 Ave,From low $600's,Townhouse,Sunmark,63,,3,,"3- & 4-bedroom homes, some w/ entertainment-sized decks, ranging from 1,532 - 2,029 sf",Mountain views,Elgin Heritage Park,Close to everyday necessities & great schools; Kings Cross & Newton Town Centre shopping; Serpentine Fen trails & wetlands; White Rock & Crescent beach;,double side-by-side garages or tandem garages,Plenty of storage room,
Vantage in Squamish,2 Avenue,,Condo,EPIX Developments Ltd. and Accorde Properties,73,,6-storey,,,Mountains & water,Junction Park & U Siyam Pavilion,"Arts, entertainment, downtown squamish",,,
Ventura in Abbotsford,32838 Ventura Avenue,,Condo,Ventura Properties Ltd.,70,,6,"Shared backyard features a fire pit, outdoor BBQ, and plenty of open green space",,,"Horn Creek Park, Mill Lake Park","Sevenoaks Shopping Centre, Best Buy, Wendy's, Gateway Pizza, Real Canadian Superstore, 7-Eleven, Subway, Shoppers Drug Mark, and more",,,
"Verge Townhomes | Willoughby, Langley",80 Ave & 200 St,,Townhouse,Essence Properties,,,,Sound conscious homes,3 & 4 BED townhomes,,Willoughby Community Park,"Shops, restaurants, grocers, cafés, entertainment & conveniences of Willoughby & Walnut Grove",Double garage,Yes,
Victoria by Mosaic Homes | Coquitlam,Victoria St & Rocklin Drive,"Starting from $639,900",Townhouse,Mosaic Homes,131,,,New community on a mountain,"3-4 bedrooms with modern interior design, 10'+ ceilings, private patio & balcony",Nature,Victoria Park playground & Leigh Park off-leash dog area,"Schools, shopping, restaurants, cafes, bars & recreational activities",2,Yes,
Vista Green at The Falls in Chilliwack,"51096 Falls Court, Chilliwack, BC",,Townhouse,Kerkhoff Construction Ltd.,66,,,,,"Stunning views of the golf course, Fraser Valley & mountains",,,Double garages with full driveways,,
Vista in Burquitlam,700 Clarke Road,,Condo,Dolomiti Homes,73,,6,"Quick 8 minute walk to Burquitlam Skytrain Station, groceries, shops and services","Over 4,000 square feet of amenity space","360 degree views from the 3,300 square-foot rooftop deck for relaxing and entertaining",,"Walking distance to Loughheed Town Centre, local schools and excellent hiking, running and cycling trails on Burnaby Mountain",Secured underground parking with fob access,Personal storage locker for each home,
Voyce Cambie & West 35th Avenue | Vancouver Westside Presale Condos,Cambie & West 35th Ave,,Condo,Forefield Group,81,,6,,"Studio, 1-, 2- and 3-bedroom modern homes (455 - 1,113 sf)",Beautiful views of the historic Queen Elizabeth Park,Queen Elizabeth Park,"Shops, restaurants & services at Queen Elizabeth Park; Oakridge Shopping Centre shopping; Hillcrest Community Centre recreation",2 levels underground parking + EV charging,Yes,
Vya-A New Presale Condo Development in Mount Pleasant with Floorplans & Pricing!,233 Kingsway,"Prices start at $239,900.",Condos,PortLiving,43,,6,,,Beautiful Views from the Rooftop Series Suites,"Guelph Park, Robson Park",,Most units include Parking,Most units include Storage,
W1 by Concord Pacific - The Newest Presale at Marine and Cambie,445 SW Marine Drive,,"1-, 2-, 3-bedroom condos",Concord Pacific,584,Concrete,2 Towers: 27 and 21 Storeys,On-site Daycare,,,,,,,
W63 Mansion On Vancouver's Westside,489 W 63 AVE,,Condo,Hansen Pacific,28,,,Oversized balconies (up to 450 sq. ft.) for most homes,Expansive living spaces and bedrooms,,Winona Park,"T&T Supermarket, Steve Nash Fitness World, Cineplex Cinemas and more",,,
WATERSTONE by HJ Properties,"64th Ave & 194th Street, Surrey",,Condo,HJ Properties,,,,"Low Strata Fees, Free Cable and Internet",,,Langley Meadows Park,"Shopping, Langley Events Centre, Willowbrook Mall,",,Storage Locker included,
WOODLAND PARK by Infinity,8570 204 Street,-,Townhomes,Infinity Properties,94,Wood frame,3 Storey Plans,Forced Air Heating. Gas Stoves. Powder rooms.,,North Shore Mountains,Yorkson Community Park,"Shopping, parks, trails, community centre, restaurants",,,
Walter's Place - New Lynn Valley Condos in the heart of Lynn Valley,"1335 Draycott, North Vancouver",TBA,2-3 Bedroom,Milori,35,Wood,5,,,,Lynn Canyon,"Shopping, Skiing, recreation",65,,
Ward by Vicini in Vancouver,2733 Ward St,,Townhomes,Vicni Homes,16,,,"easy access to Slocan Park, Norquay Park, Still Creek Community Garden",,,"Slocan Park, Norquay Park","Restaurants,schools, pharmacies, public transportation",Each residence has its own surface parking stall accessed from the lane.,,
Waterfront Landing by Bosa in Squamish,1500 BC-99,,Condo and Townhouse,Bosa Development,986,,,5-acre waterfront park,,,,pedestrian footbridge connecting to downtown Squamish,,,
Wembley in the vibrant city of Richmond,No. 5 Road & Highway 91,"Starting from $788,800",Townhouse,Citimark Group & Western Construction,109,,,,"3 or more bedrooms, ranging from 1,200 – 1,679 sf",,Richmond Nature Park & King George Park,"1km away from several schools, Cambie Community Centre & Cambie Plaza shopping",Double Garage,Yes,
West 3rd St & Bewicke Ave | North Vancouver - Norgate,West 3rd St & Bewicke Ave,,Condo,"Lotus Capital, Omicron",55,Woodframe,6,,"1, 2 & 3 bedroom homes",North Shore Mountains,"Mahon Park, William Griffin Park, Murdo Frazer Park","Schools, shops & services of Lower Lonsdale; Automall; Waterfront Park restaurants; Capilano Mall",91 underground parking spots,,
West 49th & Fremlin Townhomes,West 49th & Fremlin,,Townhouse,Alabaster Homes,23,,3 X 3-storey,,"1-, 2- & 3-bedroom homes, ranging from 498 – 1,447 sf",,"Tisdall Park, Montgomery Park, Oak Park","Oakridge Centre shopping, dining & conveniences; Langara Golf Course; Langara Family YMCA rec centre; Langara College + numerous schools (k-12)",1 level underground parking,,
West 6th in the heart of South Granville,1558 West 6th Avenue,,Condo & Townhouse,Anthem Properties,40 condominiums & 10 townhomes,,11 storey residential tower built above a podium of two and three level townhomes,Walking distance to Granville Island,,,Near Kits Beach & Vanier Park,"Steps from South Granville shops, restaurants & galleries",78,,
West Five Vancouver Presale Condo by Orr Development in Kitsilano,1817 West 5th Avenue,TBA,,Orr Developments,24,Concrete,5,Air Conditioned,,,Seaforth Peace Park,"World-class shopping, beaches and parks",,,
West Quay: in the heart of the North Shore,"21 Lonsdale Avenue, North Vancouver, BC",,,Polygon,,,,Modern West Coast architecture with oversized lobby,,"Top floor homes boast breathtaking views of downtown Vancouver, Burrard Inlet, English Bay and the North Shore mountains",Waterfront Park,Lonsdale Quay,,,
"West Third by Anthem | Lonsdale, North Vancouver",West Third & Chesterfield,,Condo,Anthem,57,Concrete,5,,2-3 BED + some w/ DEN,Close to scenic waterfront views,"Waterfront Park, Victoria Park","Lonsdale Quay Market, Shipyards complex, Lonsdale businesses & restaurants",1,,
Westbay | Victoria,Lyall Street,"Starting from $398,476",Condo,Tenfold Projects,85,,6,"Variable refrigerant heating & cooling, alkaline water filtration,  electric vehicle charging, low emission/anti-glare window coating & much more",1- and 2-bedroom homes,"Water, city & mountain views",,"Westbay Marine Village shop, restaurants & services",Yes,Yes,
Westbury by Gryphon on Vancouver's Westside,4066 Macdonald St,,Townhouse,Gryphon,8,,,Each of Westbury’s residences offer three storeys of living space encompassing three bedrooms,,,Trafalgar Park,"Trafalgar Elementary, day care, shops, supermarket, and restaurants",19,,
Wexley - RDG,20857 77A Ave,,Townhouse,RDG,90,,,,,,,"Shopping, Dining, Great schools. Steps away from Willoughby town centre",,,
Whalley District in Surrey,13665 107a Ave,,Condo,Tien Sher Group of Companies,1119 Units,,,,,,,"Simon Fraser University, future site of Whalley Entertainment District",Phase 1：450 vehicle spaces,,
Whitgift Gardens | Coquitlam,Cottonwood Ave& Whiting Way,,Condo,Concert Properties,"1,187",,"6 high-rises, varying from 24-48 storeys",,Will offer a variety of home types to suit a diverse group of buyers,,Expanded Cottonwood Park,Lougheed Town Centre shopping/dining & Simon Fraser University,1,1,
Willow - A Boutique Development by Coromandel,,,,,,,,,,,,,,,
Wilmar Residences Vancouver - Redevelopment Project,2050 SW Marine Dr,,Single Family Homes,Coromandel Properties,5,,,,,,Riverview Park,Marine Drive Gold Club,Private enclosed garage with each unit,In suite storage,
Wilson by BlueSky in Burnaby,5977 Wilson Ave,,Condo,BlueSky Properties,287,,39,,,,Central Park,"Restaurants, entertainment, schools, pharmacies, public transportation, shopping mall and more",323 vehicle stalls,,
Winona Park Chateau Parkside Residences-19 boutique townhomes near Langara in Vancouver,344 West 62nd Avenue,"Pricing from the low $750,000s to $1.1 million",One-level 2-bedroom homes and Parkview 3-bedroom homes,Formwerks,19,,,,,,Winona Park and Langara Golf Course,,,,
Winona on Cambie Corridor,7638 Cambie Street,,Condo,Raichu Development Group,38,,6,LEED® Gold Certification upon completion,,,Winona Park,Walking distance to Marine Gateway shops & services,42 vehicle spaces,36,
Winston South Oak in Vancouver,989 West 67th Avenue,,Condo and Townhouse,Coromandel Properties,43,Concrete,8,"Strikingly-modern facade conceived by award-winning architectural firm, IBI Group, and spacious and sophisticated interiors designed by award-winning Portico Design Group",,,"Oak Park, Eburne Park","World-class schools, recreation, YVR airport, Oakridge Centre, Marine Gateway and more",,,
Winston Terraces in the heart of Langley,19608 56 Ave,,Townhouse,Quadstar Development,26,,,,,,Bryon Park,"minutes to Downtown, shops and a myriad of local amenities",,,
Wood & Water | Fleetwood Townhomes,152nd St,,Townhouse,Anthem Properties,325,,,"1,000 new trees will be planted throughout the community","2-4 bedroom homes, ranging from 1,200 – 1,700 sf",,On site park and trail network,"Several Elementary & Secondary schools; Fleetwood & Surrey Lake parks; Guildford Town Centre shopping, dinning & services",1- & 2-car garages,,
Woodstock by Nexst at Oakridge,W 41st & Columbia St,,Townhomes,Nexst Properties,15,,,Semi-private roof decks or at-grade patios & porches w/ gas BBQ connections & hose bibs,,,"Queen Elizabeth Park, Columbia Park, VanDusen Botanical Garden","Restaurants, Entertainment, Schools, Pharmacies, Hospital, Public Transportation, Parks, Oakridge Mall",1 parking stall included w/ each home,,
